iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
1977 2 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 99.30 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 -1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.90 -1.00 -999.00 -999.00 18.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 15.00 67.30 -999.00
1977 3 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.90 -1.00 -999.00 -999.00 50.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 47.00 26.30 -999.00
1977 3 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.90 -1.00 -999.00 -999.00 71.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 66.00 32.10 -999.00
1977 3 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.90 -1.00 -999.00 -999.00 89.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 81.00 48.50 -999.00
1977 3 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.90 -1.00 -999.00 -999.00 45.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 45.00 0.00 -999.00
1977 3 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.60 -0.10 -999.00 -999.00 11.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 11.00 0.00 -999.00
1977 3 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.60 -0.10 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.60 -0.10 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.60 -0.10 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 -0.10 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
