iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2024 154 22 0 -999.0 -18.61 10.6 -999.0 -999.0 4.73 80.26 12.29 99.16 0.0 0.0 -999.0 332.64 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 154 23 0 -999.0 -21.47 8.35 -999.0 -999.0 5.36 83.17 11.36 99.14 0.0 0.0 -999.0 314.69 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 0 0 -999.0 -21.24 7.23 -999.0 -999.0 5.06 87.04 10.45 99.11 0.0 0.0 -999.0 306.86 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 1 0 -999.0 -20.98 5.72 -999.0 -999.0 6.25 89.36 9.85 99.06 0.0 0.0 -999.0 295.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 2 0 -999.0 -11.11 6.65 -999.0 -999.0 4.98 88.96 9.57 99.05 0.0 0.0 -999.0 316.35 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 3 0 -999.0 -6.48 7.18 -999.0 -999.0 4.03 87.8 9.81 99.06 0.0 0.0 -999.0 325.96 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 4 0 -999.0 -4.49 8.36 -999.0 -999.0 5.17 86.67 9.96 99.06 0.0 4.68 -999.0 326.29 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 5 0 -999.0 0.03 16.2 -999.0 -999.0 5.16 87.52 9.8 99.07 0.0 56.55 -999.0 303.69 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 6 0 -999.0 24.27 43.41 -999.0 -999.0 5.54 83.61 10.41 99.09 0.0 143.28 -999.0 318.07 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 7 0 -999.0 39.62 76.08 -999.0 -999.0 5.75 76.29 10.74 99.11 0.01 213.46 -999.0 321.77 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 8 0 -999.0 68.98 107.33 -999.0 -999.0 5.13 73.0 11.16 99.1 0.0 294.72 -999.0 339.36 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 9 0 -999.0 92.67 133.13 -999.0 -999.0 4.52 71.08 11.46 99.07 0.0 369.27 -999.0 346.62 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 10 0 -999.0 117.84 163.87 -999.0 -999.0 3.25 71.64 11.8 99.09 0.0 455.12 -999.0 349.61 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 11 0 -999.0 135.37 188.42 -999.0 -999.0 4.11 70.93 12.3 99.07 0.0 514.38 -999.0 346.86 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 12 0 -999.0 146.61 209.05 -999.0 -999.0 4.64 70.04 12.75 99.05 0.0 559.14 -999.0 354.02 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 13 0 -999.0 136.14 206.45 -999.0 -999.0 4.68 68.56 13.16 99.05 0.0 535.52 -999.0 349.07 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 14 0 -999.0 90.51 167.93 -999.0 -999.0 4.69 67.78 13.42 99.03 0.0 391.58 -999.0 359.73 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 15 0 -999.0 65.55 145.21 -999.0 -999.0 4.72 68.06 13.54 99.0 0.0 332.26 -999.0 350.72 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 16 0 -999.0 41.2 117.65 -999.0 -999.0 4.9 68.29 13.53 98.98 0.0 250.78 -999.0 352.81 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 17 0 -999.0 23.12 93.48 -999.0 -999.0 4.6 68.99 13.41 98.95 0.02 184.29 -999.0 356.75 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 18 0 -999.0 3.91 52.77 -999.0 -999.0 4.02 71.08 13.05 98.94 0.01 78.46 -999.0 360.38 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 19 0 -999.0 -0.06 27.92 -999.0 -999.0 2.71 76.08 12.49 98.95 0.0 34.53 -999.0 352.1 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 20 0 -999.0 -2.68 9.34 -999.0 -999.0 1.54 82.1 11.63 98.91 0.0 4.43 -999.0 345.54 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 21 0 -999.0 -2.04 4.52 -999.0 -999.0 2.07 84.56 11.11 98.91 0.0 0.0 -999.0 336.73 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 22 0 -999.0 -1.84 3.62 -999.0 -999.0 1.05 89.74 10.48 98.87 0.0 0.0 -999.0 331.87 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 155 23 0 -999.0 -1.62 3.33 -999.0 -999.0 1.41 90.35 10.24 98.85 0.0 0.0 -999.0 333.11 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
